順位	都道府県	市区	議員報酬	人口	面積	人口密度
1	神奈川県	横浜市	16,582,200	3,740,944	437.7	8,546.82
2	兵庫県	神戸市	16,014,600	1,536,861	557.01	2,759.13
3	福岡県	福岡市	14,834,600	1,540,923	343.46	4,486.47
4	福岡県	北九州市	14,712,720	955,678	491.69	1,943.66
5	京都府	京都市	14,564,880	1,412,570	827.83	1,706.35
6	北海道	札幌市	14,497,450	1,955,457	1,121.26	1,743.98
7	広島県	広島市	14,215,800	1,196,138	906.68	1,319.25
8	宮城県	仙台市	14,160,300	1,062,585	786.35	1,351.29
9	神奈川県	川崎市	13,991,725	1,499,907	143.01	10,488.1
10	愛知県	名古屋市	13,880,542	2,293,588	326.5	7,024.77
11	埼玉県	さいたま市	13,545,495	1,302,256	217.43	5,989.31
12	大阪府	堺市	13,478,400	837,773	149.82	5,591.86
13	千葉県	千葉市	13,351,800	970,049	271.78	3,569.24
14	大阪府	大阪市	12,956,760	2,727,255	225.3	12,105
15	岡山県	岡山市	12,311,400	709,241	789.95	897.83
16	兵庫県	西宮市	11,912,580	488,244	99.96	4,884.39
17	兵庫県	姫路市	11,877,900	538,488	534.48	1,007.5
18	石川県	金沢市	11,683,000	453,654	468.64	968.02
19	大阪府	東大阪市	11,676,000	495,935	61.78	8,027.44
20	栃木県	宇都宮市	11,617,800	522,688	416.85	1,253.9
20	岡山県	倉敷市	11,617,800	482,541	355.63	1,356.86
22	大阪府	茨木市	11,473,920	282,018	76.49	3,686.99
23	和歌山県	和歌山市	11,444,400	368,835	208.85	1,766.03
24	静岡県	静岡市	11,416,860	702,395	1,411.83	497.51
25	大阪府	高槻市	11,404,800	352,496	105.29	3,347.86
26	神奈川県	相模原市	11,294,525	722,863	328.91	2,197.75
27	大阪府	吹田市	11,232,000	371,715	36.09	10,299.7
27	岐阜県	岐阜市	11,232,000	409,900	203.6	2,013.26
29	大阪府	寝屋川市	11,149,620	233,483	24.7	9,452.75
30	広島県	福山市	11,010,900	469,887	518.14	906.87
30	大阪府	豊中市	11,010,900	406,593	36.39	11,173.2
32	鹿児島県	鹿児島市	10,948,560	604,631	547.58	1,104.19
33	東京都	大田区	10,898,736	729,534	60.83	11,993
34	神奈川県	横須賀市	10,889,945	406,003	100.82	4,027.01
35	東京都	渋谷区	10,833,275	226,594	15.11	14,996.3
36	東京都	荒川区	10,830,735	215,966	10.16	21,256.5
37	熊本県	熊本市	10,813,500	734,059	390.32	1,880.66
38	東京都	港区	10,807,963	257,426	20.37	12,637.5
39	大阪府	枚方市	10,790,208	402,579	65.12	6,182.11
40	埼玉県	川口市	10,783,665	603,838	61.95	9,747.18
41	東京都	世田谷区	10,779,862	908,907	58.05	15,657.3
42	静岡県	浜松市	10,779,480	804,780	1,558.06	516.53
43	大阪府	松原市	10,750,800	120,835	16.66	7,253
44	東京都	葛飾区	10,746,916	462,591	34.8	13,292.8
45	兵庫県	尼崎市	10,742,400	463,186	50.72	9,132.22
45	山形県	山形市	10,742,400	246,904	381.3	647.53
47	愛知県	豊田市	10,738,228	425,455	918.32	463.3
48	東京都	足立区	10,704,058	688,512	53.25	12,929.8
49	大分県	大分市	10,698,290	479,097	502.39	953.64
50	東京都	江東区	10,689,945	518,479	40.16	12,910.3
51	東京都	八王子市	10,687,200	562,460	186.38	3,017.81
52	東京都	北区	10,652,292	351,976	20.61	17,077.9
53	東京都	千代田区	10,652,180	63,454	11.66	5,442.02
54	東京都	豊島区	10,630,076	289,508	13.01	22,252.7
55	千葉県	船橋市	10,629,420	639,598	85.62	7,470.19
56	大阪府	守口市	10,612,080	143,458	12.71	11,287
57	東京都	中央区	10,610,015	162,502	10.21	15,916
58	大阪府	箕面市	10,540,800	138,374	47.9	2,888.81
59	東京都	台東区	10,532,250	199,292	10.11	19,712.4
60	東京都	墨田区	10,521,420	271,859	13.77	19,742.8
61	大阪府	富田林市	10,504,200	111,898	39.72	2,817.17
62	千葉県	市川市	10,473,360	487,536	57.45	8,486.27
63	大阪府	八尾市	10,467,600	266,943	41.72	6,398.44
64	東京都	杉並区	10,432,914	569,132	34.06	16,709.7
65	東京都	江戸川区	10,423,485	698,031	49.9	13,988.6
66	東京都	練馬区	10,411,950	732,583	48.08	15,236.8
67	大阪府	和泉市	10,404,000	186,060	84.98	2,189.46
68	兵庫県	明石市	10,402,560	302,853	49.42	6,128.15
69	東京都	板橋区	10,375,500	566,890	32.22	17,594.3
70	東京都	品川区	10,373,811	394,700	22.84	17,281.1
71	愛知県	岡崎市	10,350,505	387,842	387.2	1,001.66
72	大阪府	池田市	10,332,000	103,655	22.14	4,681.8
73	大阪府	羽曳野市	10,315,200	111,955	26.45	4,232.7
74	新潟県	新潟市	10,296,600	792,868	726.46	1,091.41
75	大阪府	門真市	10,264,320	122,656	12.3	9,972.03
76	兵庫県	芦屋市	10,247,940	96,021	18.47	5,198.75
77	大阪府	大東市	10,230,600	120,759	18.27	6,609.69
78	東京都	中野区	10,227,985	331,658	15.59	21,273.8
79	長崎県	長崎市	10,227,428	421,799	405.86	1,039.27
80	東京都	新宿区	10,177,415	346,162	18.22	18,999
81	東京都	目黒区	10,141,070	279,342	14.67	19,041.7
82	富山県	富山市	10,114,500	417,234	1,241.77	336
82	長野県	長野市	10,114,500	377,967	834.81	452.76
84	千葉県	松戸市	10,099,325	496,571	61.38	8,090.11
